[2024-03-29 17:29:09] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -308, Y= 70, Z= 275
[2024-03-29 17:29:41] [world] The Player <GolemDaWanderer> has crafted 1 of INK SACK at X= -10174, Y= 63, Z= 4116
[2024-03-29 17:39:56] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -311, Y= 64, Z= 274
[2024-03-29 17:55:16] [world] The Player <xcpc> has crafted 1 of DIAMOND AXE at X= -310, Y= 70, Z= 275
[2024-03-29 18:05:21] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -308, Y= 70, Z= 275
[2024-03-29 18:08:35] [world] The Player <xcpc> has crafted 1 of HOPPER at X= -309, Y= 70, Z= 275
[2024-03-29 18:12:39] [world] The Player <xcpc> has crafted 9 of IRON INGOT at X= -307, Y= 70, Z= 278
[2024-03-29 18:13:34] [world] The Player <xcpc> has crafted 1 of HOPPER at X= -308, Y= 70, Z= 274
[2024-03-29 18:13:36] [world] The Player <xcpc> has crafted 1 of SHEARS at X= -308, Y= 70, Z= 274
[2024-03-29 18:56:32] [world] The Player <xcpc> has crafted 4 of WOOD at X= -313, Y= 63, Z= 274
[2024-03-29 18:56:37] [world] The Player <xcpc> has crafted 1 of CHEST at X= -313, Y= 63, Z= 274
[2024-03-29 19:11:13] [world] The Player <xcpc> has crafted 4 of WOOD at X= -314, Y= 74, Z= 274
[2024-03-29 19:22:42] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -313, Y= 63, Z= 273
[2024-03-29 19:30:11] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -308, Y= 70, Z= 275
[2024-03-29 19:30:53] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -309, Y= 70, Z= 275
[2024-03-29 19:46:30] [world] The Player <xcpc> has crafted 4 of SMOOTH BRICK at X= -313, Y= 63, Z= 273
[2024-03-29 21:52:25] [world] The Player <xcpc> has crafted 4 of TORCH at X= -263, Y= 35, Z= 251
[2024-03-29 22:52:39] [world] The Player <xcpc> has crafted 4 of STONE at X= -309, Y= 70, Z= 275
[2024-03-29 22:55:58] [world] The Player <xcpc> has crafted 4 of STONE at X= -256, Y= 13, Z= 247
[2024-03-29 22:59:01] [world] The Player <xcpc> has crafted 1 of BOW at X= -310, Y= 64, Z= 277
[2024-03-29 22:59:04] [world] The Player <xcpc> has crafted 1 of BOW at X= -310, Y= 64, Z= 277
[2024-03-29 22:59:08] [world] The Player <xcpc> has crafted 1 of BOW at X= -310, Y= 64, Z= 277
[2024-03-29 22:59:11] [world] The Player <xcpc> has crafted 1 of BOW at X= -310, Y= 64, Z= 277
[2024-03-29 22:59:14] [world] The Player <xcpc> has crafted 1 of BOW at X= -310, Y= 64, Z= 277
[2024-03-29 23:06:10] [world] The Player <xcpc> has crafted 4 of STONE at X= -314, Y= 64, Z= 274
[2024-03-29 23:14:25] [world] The Player <xcpc> has crafted 1 of ENCHANTMENT TABLE at X= -308, Y= 70, Z= 275
[2024-03-29 23:15:12] [world] The Player <xcpc> has crafted 3 of PAPER at X= -313, Y= 64, Z= 273
[2024-03-29 23:15:19] [world] The Player <xcpc> has crafted 1 of BOOK at X= -313, Y= 64, Z= 273
[2024-03-29 23:15:36] [world] The Player <xcpc> has crafted 4 of WOOD at X= -314, Y= 70, Z= 273
[2024-03-29 23:15:47] [world] The Player <xcpc> has crafted 1 of BOOKSHELF at X= -310, Y= 70, Z= 275
[2024-03-29 23:18:33] [world] The Player <xcpc> has crafted 1 of SHEARS at X= -293, Y= 80, Z= 284
[2024-03-29 23:22:20] [world] The Player <xcpc> has crafted 4 of WOOD at X= -312, Y= 64, Z= 274
[2024-03-29 23:22:40] [world] The Player <xcpc> has crafted 1 of BOOKSHELF at X= -313, Y= 64, Z= 274
[2024-03-29 23:24:48] [world] The Player <xcpc> has crafted 1 of WORKBENCH at X= -263, Y= 11, Z= 231
[2024-03-29 23:24:54] [world] The Player <xcpc> has crafted 1 of BUCKET at X= -263, Y= 11, Z= 231
