[2024-03-20 23:24:54] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:54] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:54] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:54] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:58] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:58] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:59] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:30] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:30] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:31] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:31] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:31] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:31] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:31] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:32] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:32] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:32] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:32] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:32] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:32] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:33] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
