[2024-03-18 11:34:21] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -542, Y= 82, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:34:22] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -542, Y= 82, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:34:24] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 83, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:34:25] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 83, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:34:29] [world] The Player <sharky> has picked 1 of SAND at X= -543, Y= 82, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:34:31] [world] The Player <sharky> has picked 1 of SAND at X= -543, Y= 82, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:34:31] [world] The Player <sharky> has picked 1 of SAND at X= -543, Y= 82, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:34:37] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -543, Y= 82, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:34:39] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -543, Y= 82, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:34:40] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -542, Y= 81, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:58:47] [world] The Player <character> has picked 1 of COBBLESTONE at X= -770, Y= 11, Z= 175 that had [] enchantment(s) |  
[2024-03-18 12:01:48] [world] The Player <character> has picked 12 of LOG at X= -731, Y= 35, Z= 171 that had [] enchantment(s) |  
[2024-03-18 12:03:29] [world] The Player <character> has picked 11 of STONE at X= -732, Y= 35, Z= 171 that had [] enchantment(s) |  
[2024-03-18 12:03:30] [world] The Player <character> has picked 64 of COBBLESTONE at X= -732, Y= 35, Z= 171 that had [] enchantment(s) |  
