[2024-03-24 23:03:26] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 62, Z= 4120
[2024-03-24 23:03:27] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 61, Z= 4120
[2024-03-24 23:03:27] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 61, Z= 4120
[2024-03-24 23:03:30] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 60, Z= 4119
[2024-03-24 23:03:37] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 60, Z= 4120
[2024-03-24 23:03:37] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 60, Z= 4120
[2024-03-24 23:03:38] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 60, Z= 4119
[2024-03-24 23:03:39] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 61, Z= 4118
[2024-03-24 23:03:40] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 62, Z= 4118
[2024-03-24 23:03:40] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 62, Z= 4117
[2024-03-24 23:03:56] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10157, Y= 63, Z= 4119
[2024-03-24 23:04:09] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10156, Y= 63, Z= 4119
[2024-03-24 23:04:12] [world] The Player <GolemDaWanderer> has broke PISTON_STICKY_BASE at X= -10156, Y= 60, Z= 4119
[2024-03-24 23:04:23] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 60, Z= 4120
[2024-03-24 23:04:26] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 63, Z= 4120
[2024-03-24 23:04:33] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 62, Z= 4119
[2024-03-24 23:04:34] [world] The Player <GolemDaWanderer> has broke PISTON_STICKY_BASE at X= -10157, Y= 61, Z= 4119
[2024-03-24 23:04:35] [world] The Player <GolemDaWanderer> has broke PISTON_STICKY_BASE at X= -10156, Y= 61, Z= 4119
[2024-03-24 23:05:05] [world] The Player <GolemDaWanderer> has broke TORCH at X= -10158, Y= 64, Z= 4119
[2024-03-24 23:05:17] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10158, Y= 63, Z= 4117
[2024-03-24 23:05:23] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10156, Y= 63, Z= 4118
[2024-03-24 23:05:42] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10158, Y= 64, Z= 4118
[2024-03-24 23:05:57] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10156, Y= 63, Z= 4119
[2024-03-24 23:06:02] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10156, Y= 63, Z= 4118
[2024-03-24 23:06:26] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10157, Y= 64, Z= 4119
[2024-03-24 23:06:51] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10157, Y= 64, Z= 4119
[2024-03-24 23:06:59] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10158, Y= 65, Z= 4117
[2024-03-24 23:07:14] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10164, Y= 63, Z= 4116
[2024-03-24 23:07:28] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10156, Y= 63, Z= 4117
[2024-03-24 23:07:33] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10157, Y= 64, Z= 4117
[2024-03-24 23:07:36] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10157, Y= 64, Z= 4117
[2024-03-24 23:07:39] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10157, Y= 64, Z= 4119
[2024-03-24 23:07:44] [world] The Player <GolemDaWanderer> has broke LEVER at X= -10157, Y= 64, Z= 4117
[2024-03-24 23:07:52] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10157, Y= 64, Z= 4117
[2024-03-24 23:07:55] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10157, Y= 64, Z= 4117
[2024-03-24 23:08:00] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10158, Y= 66, Z= 4117
[2024-03-24 23:08:11] [world] The Player <GolemDaWanderer> has broke STONE at X= -10159, Y= 67, Z= 4117
[2024-03-24 23:08:12] [world] The Player <GolemDaWanderer> has broke STONE at X= -10160, Y= 67, Z= 4117
[2024-03-24 23:08:13] [world] The Player <GolemDaWanderer> has broke STONE at X= -10159, Y= 68, Z= 4117
[2024-03-24 23:08:20] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10157, Y= 64, Z= 4117
[2024-03-24 23:08:29] [world] The Player <GolemDaWanderer> has broke STONE at X= -10158, Y= 68, Z= 4117
[2024-03-24 23:08:38] [world] The Player <GolemDaWanderer> has broke STONE at X= -10159, Y= 69, Z= 4117
[2024-03-24 23:08:44] [world] The Player <GolemDaWanderer> has broke DIRT at X= -10159, Y= 70, Z= 4117
[2024-03-24 23:12:34] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10159, Y= 63, Z= 4110
[2024-03-24 23:12:35] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10158, Y= 63, Z= 4110
[2024-03-24 23:12:36] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10158, Y= 63, Z= 4109
[2024-03-24 23:12:36] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10157, Y= 63, Z= 4109
[2024-03-24 23:12:36] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10156, Y= 63, Z= 4109
