[2024-03-20 14:02:18] [world_the_end] The Player <Sword4001> has died with 16 level(s) at X= 99, Y= -237, Z= 4 | caused by VOID | 
[2024-03-20 14:02:19] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -285, Y= 31, Z= 501 | caused by FIRE | 
[2024-03-20 14:02:20] [world] The Player <NezukoChan> has died with 7 level(s) at X= -578, Y= 69, Z= 321 | caused by Player | Brycethelegend
[2024-03-20 14:02:31] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -286, Y= 30, Z= 500 | caused by FIRE_TICK | 
[2024-03-20 14:02:43] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 31, Z= 499 | caused by LAVA | 
[2024-03-20 14:02:44] [world] The Player <qwerty> has died with 19 level(s) at X= 9944, Y= 67, Z= 1160 | caused by Player | Rip_Dogwater
[2024-03-20 14:02:56] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 31, Z= 498 | caused by LAVA | 
[2024-03-20 14:03:08] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 30, Z= 498 | caused by LAVA | 
[2024-03-20 14:03:21] [world] The Player <somebody139> has died with 5 level(s) at X= -456, Y= 8, Z= 1327 | caused by FALL | 
[2024-03-20 14:03:22] [world] The Player <kumquat> has died with 0 level(s) at X= -571, Y= 64, Z= 292 | caused by Player | Mudkips_Rule
[2024-03-20 14:03:32] [world] The Player <qwerty> has died with 19 level(s) at X= 9973, Y= 68, Z= 1133 | caused by Player | Rip_Dogwater
[2024-03-20 14:03:36] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 31, Z= 498 | caused by LAVA | 
[2024-03-20 14:03:49] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 31, Z= 498 | caused by LAVA | 
[2024-03-20 14:03:55] [world] The Player <somebody139> has died with 5 level(s) at X= -456, Y= 9, Z= 1337 | caused by FIRE_TICK | 
[2024-03-20 14:04:12] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 30, Z= 498 | caused by LAVA | 
[2024-03-20 14:04:15] [world] The Player <qwerty> has died with 19 level(s) at X= 9982, Y= 69, Z= 1113 | caused by FIRE_TICK | 
[2024-03-20 14:04:25] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 30, Z= 498 | caused by LAVA | 
[2024-03-20 14:04:39] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 30, Z= 498 | caused by LAVA | 
[2024-03-20 14:04:49] [world] The Player <Rip_Dogwater> has died with 52 level(s) at X= 9981, Y= 68, Z= 1137 | caused by Player | qwerty
[2024-03-20 14:04:49] [world] The Player <qwerty> has died with 19 level(s) at X= 9980, Y= 68, Z= 1140 | caused by Player | Rip_Dogwater
[2024-03-20 14:04:52] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 27, Z= 496 | caused by LAVA | 
[2024-03-20 14:05:12] [world] The Player <qwerty> has died with 19 level(s) at X= 9966, Y= 69, Z= 1148 | caused by Player | Rip_Dogwater
[2024-03-20 14:07:56] [world_nether] The Player <MrBlob2U> has died with 28 level(s) at X= -91, Y= 70, Z= -51 | caused by FIRE_TICK | 
[2024-03-20 14:10:37] [world] The Player <MrBlob2U> has died with 30 level(s) at X= -574, Y= 68, Z= 246 | caused by Player | astronomy
